StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID291,Q1. True or False,Q2. True or False,Q3. Easy MC,Q4. Easy MC,Q5. Hard MC,Q6. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q7. True or False,Q8. True or False,Q9. Easy MC,Q10. Easy MC,Q11. Hard MC,Q12. Hard MC,Q13. True or False,Q14. True or False,Q15. Easy MC,Q16. Easy MC,Q17. Hard MC,Q18. Hard MC,Timer_First Click.1,Timer_Last Click.1,Timer_Page Submit.1,Timer_Click Count.1,Q19. True or False,Q20. True or False,Q21. Easy MC,Q22. Easy MC,Q23. Hard MC,Q24. Hard MC,Q25. True or False,Q26. True or False,Q27. Easy MC,Q28. Easy MC,Q29. Hard MC,Q30. Hard MC,Timer_First Click.2,Timer_Last Click.2,Timer_Page Submit.2,Timer_Click Count.2,Q31. True or False,Q32. True or False,Q33. Easy MC,Q34. Easy MC,Q35. Hard MC,Q36. Hard MC,Q37. True or False,Q38. True or False,Q39. Easy MC,Q40. Easy MC,Q41. Hard MC,Q42. Hard MC,Timer_First Click.3,Timer_Last Click.3,Timer_Page Submit.3,Timer_Click Count.3,Q43. True or False,Q44. True or False,Q45. Easy MC,Q46. Easy MC,Q47. Hard MC,Q48. Hard MC,Q49. True or False,Q50. True or False,Q51. Easy MC,Q52. Easy MC,Q53. Hard MC,Q54. Hard MC,Timer_First Click.4,Timer_Last Click.4,Timer_Page Submit.4,Timer_Click Count.4,Q55. True or False,Q56. True or False,Q57. Easy MC,Q58. Easy MC,Q59. Hard MC,Q60. Hard MC,Q61. True or False,Q62. True or False,Q63. Easy MC,Q64. Easy MC,Q65. Hard MC,Q66. Hard MC,Timer_First Click.5,Timer_Last Click.5,Timer_Page Submit.5,Timer_Click Count.5,Q67. True or False,Q68. True or False,Q69. Easy MC,Q70. Easy MC,Q71. Hard MC,Q72. Hard MC,Q73. True or False,Q74. True or False,Q75. Easy MC,Q76. Easy MC,Q77. Hard MC,Q78. Hard MC,Timer_First Click.6,Timer_Last Click.6,Timer_Page Submit.6,Timer_Click Count.6,Q79. True or False,Q80. True or False,Q81. Easy MC,Q82. Easy MC,Q83. Hard MC,Q84. Hard MC,Q85. True or False,Q86. True or False,Q87. Easy MC,Q88. Easy MC,Q89. Hard MC,Q90. Hard MC,Timer_First Click.7,Timer_Last Click.7,Timer_Page Submit.7,Timer_Click Count.7,Q91. True or False,Q92. True or False,Q93. Easy MC,Q94. Easy MC,Q95. Hard MC,Q96. Hard MC,Q97. True or False,Q98. True or False,Q99. Easy MC,Q100. Easy MC,Q101. Hard MC,Q102. Hard MC,Timer_First Click.8,Timer_Last Click.8,Timer_Page Submit.8,Timer_Click Count.8,Q103. True or False,Q104. True or False,Q105. Easy MC,Q106. Easy MC,Q107. Hard MC,Q108. Hard MC,Q109. True or False,Q110. True or False,Q111. Easy MC,Q112. Easy MC,Q113. Hard MC,Q114. Hard MC,Timer_First Click.9,Timer_Last Click.9,Timer_Page Submit.9,Timer_Click Count.9,Q115. True or False,Q116. True or False,Q117. Easy MC,Q118. Easy MC,Q119. Hard MC,Q120. Hard MC,SC0,SC1,participant_id,doc_type,file_stem
2025-09-03 10:38:21,2025-09-03 11:07:23,0,128.82.4.174,100,1741,1,2025-09-03 11:07:24,R_59jAWNz3UWpn0mB,,,,,36.8592,-76.2729,anonymous,EN,1.0,3,2,1,3,2,3,3,0.0,0.0,328.5,0,1,1,3,2,3,3,1,1,2,1,2,1,0.0,0.0,96.017,0,1,2,2,1,2,2,2,1,3,1,3,2,0.0,0.0,42.389,0,2,1,3,2,3,2,2,1,2,2,2,3,0.0,0.0,23.752,0,2,1,3,2,2,2,1,1,2,2,2,3,33.371,34.234,37.476,2,2,1,2,2,2,3,2,1,3,2,4,4,0.0,0.0,3.816,0,1,1,4,2,2,2,1,1,2,2,4,2,0.0,0.0,3.376,0,1,1,2,2,2,2,1,1,3,4,4,2,0.0,0.0,2.491,0,1,2,2,3,2,2,1,1,3,2,3,1,1.427,1.427,2.182,1,1,2,2,4,3,1,1,1,3,2,3,2,0.0,0.0,1.771,0,1,1,3,2,2,2,62,80,3,Abstract,b2
2025-09-10 09:55:58,2025-09-10 10:14:06,0,128.82.4.174,100,1087,1,2025-09-10 10:14:06,R_3xPGUBBF4Rubwi4,,,,,36.8592,-76.2729,anonymous,EN,1.0,1,1,2,5,4,4,2,0.0,0.0,52.618,0,1,2,4,4,4,2,2,1,4,5,3,5,0.0,0.0,35.641,0,1,1,3,1,2,2,2,1,4,1,1,2,0.0,0.0,11.818,0,1,1,3,2,4,2,1,1,4,2,3,1,0.0,0.0,16.529,0,1,1,2,3,3,4,3,3,5,5,5,5,0.0,0.0,22.811,0,1,2,2,4,4,2,1,3,2,1,3,4,0.0,0.0,41.495,0,2,1,3,3,2,4,1,1,3,1,4,4,0.0,0.0,65.339,0,1,1,2,1,4,4,3,3,5,5,5,5,0.0,0.0,26.288,0,2,1,3,2,2,2,2,2,5,3,5,5,0.0,0.0,28.093,0,1,2,2,3,3,3,1,1,1,1,4,1,0.0,0.0,26.656,0,1,1,1,1,2,2,20,66,1,Abstract,b2
2025-09-16 12:22:55,2025-09-16 12:55:15,0,67.129.8.225,100,1939,1,2025-09-16 12:55:16,R_5DMipxMxuOjtelr,,,,,38.0321,-78.489,anonymous,EN,1.0,2,2,1,3,3,2,2,0.0,0.0,49.698,0,1,1,3,3,1,3,1,1,2,1,2,2,0.0,0.0,49.421,0,1,1,2,1,2,3,3,1,1,1,3,2,0.0,0.0,48.38,0,2,1,3,2,3,2,2,2,1,5,2,4,0.0,0.0,77.215,0,2,1,1,3,4,2,3,1,2,2,5,3,0.0,0.0,61.034,0,1,1,2,3,2,3,2,1,2,1,2,3,0.0,0.0,43.572,0,2,2,2,3,2,4,1,2,3,5,3,1,42.736,42.736,130.487,1,1,4,3,3,3,2,2,1,3,2,2,3,0.0,0.0,47.117,0,2,1,3,2,2,3,1,2,5,1,3,1,0.0,0.0,50.046,0,1,2,2,3,3,3,1,1,3,2,2,2,0.0,0.0,49.576,0,2,1,3,2,3,2,70,87,2,Abstract,b2
2025-09-17 12:26:14,2025-09-17 13:57:29,0,128.82.4.174,100,5474,1,2025-09-17 13:57:30,R_3onD4Wftlq2sOE0,,,,,36.8882,-76.3002,anonymous,EN,1.0,4,3,3,5,5,5,5,0.0,0.0,82.812,0,1,1,3,5,3,3,4,4,5,5,5,5,0.0,0.0,42.164,0,1,2,2,1,2,2,3,3,5,5,5,2,0.0,0.0,37.601,0,2,1,5,2,3,2,3,3,5,5,5,5,0.0,0.0,58.215,0,1,1,3,3,2,3,3,3,2,5,5,3,0.0,0.0,39.949,0,1,1,2,2,3,3,3,3,5,5,5,5,0.0,0.0,68.452,0,2,2,3,4,5,3,3,2,3,5,5,5,97.948,97.948,99.105,1,1,2,3,3,5,2,3,3,5,5,5,5,0.0,0.0,36.806,0,2,1,3,2,2,3,3,3,5,5,5,5,0.0,0.0,49.243,0,1,2,2,3,3,2,3,3,5,5,5,5,0.0,0.0,52.664,0,1,1,3,2,2,2,10,99,4,Abstract,b2
2025-09-24 07:44:32,2025-09-24 09:45:13,0,128.82.4.174,100,7240,1,2025-09-24 09:45:13,R_7T5xew7tFt4th3r,,,,,36.8882,-76.3002,anonymous,EN,1.0,11,3,3,5,2,5,5,0.0,0.0,115.773,0,1,1,3,2,3,3,4,4,2,5,5,5,0.0,0.0,50.64,0,1,2,2,1,2,2,3,1,5,5,5,5,0.0,0.0,32.98,0,1,1,3,2,3,2,2,3,5,5,5,5,0.0,0.0,79.092,0,2,2,3,3,2,3,3,3,2,5,5,5,0.0,0.0,85.595,0,1,1,2,1,5,5,3,3,5,5,5,5,0.0,0.0,63.05,0,1,2,4,3,1,4,3,2,5,2,5,5,13.168,19.12,139.356,6,1,1,3,3,2,4,2,3,5,5,5,5,0.0,0.0,53.145,0,2,1,3,2,2,3,3,3,5,5,5,5,0.0,0.0,60.496,0,1,2,2,3,3,2,3,3,5,5,5,5,0.0,0.0,37.002,0,1,2,5,2,2,2,9,85,11,Abstract,b2
2025-09-26 07:49:24,2025-09-26 09:27:59,0,128.82.4.173,100,5914,1,2025-09-26 09:28:00,R_1lygPD1l5GOUKfL,,,,,36.8882,-76.3002,anonymous,EN,1.0,7,3,3,5,5,5,5,15.129,107.075,206.724,3,1,3,3,2,1,3,4,4,5,5,5,5,8.22,72.772,78.047,17,1,2,2,1,5,2,3,3,5,5,5,5,5.074,12.386,37.132,3,2,1,3,2,3,1,3,3,5,5,5,5,26.198,57.974,58.68,15,2,1,3,4,2,3,3,3,5,5,5,5,6.073,56.578,62.413,16,1,1,3,4,2,5,3,3,5,5,5,5,17.749,69.743,71.809,24,1,1,2,4,2,2,1,4,4,3,3,4,21.259,116.389,116.966,21,1,1,4,3,3,3,3,1,2,2,5,5,22.492,54.18,55.214,10,2,1,3,2,5,5,3,3,5,5,5,5,43.645,58.422,74.144,6,1,2,2,1,5,1,3,3,5,5,5,5,9.182,56.463,78.13,3,3,3,5,2,1,1,9,54,7,Abstract,b2
2025-10-09 09:27:42,2025-10-09 10:05:23,0,24.254.215.12,100,2260,1,2025-10-09 10:05:24,R_5ceo6S993YrG7uH,,,,,36.7969,-76.1797,anonymous,EN,0.8999999761581421,5,3,3,5,5,5,5,112.288,203.257,214.606,6,1,3,3,2,1,5,4,4,5,5,5,5,3.369,107.641,129.589,16,1,4,2,1,5,5,3,1,5,5,5,2,0.0,0.0,41.489,0,2,1,3,5,5,2,3,3,5,5,5,5,0.0,0.0,75.877,0,2,3,1,3,5,4,3,3,5,5,5,5,4.376,85.315,85.914,10,3,3,5,5,5,5,3,3,5,5,5,5,12.894,84.716,102.249,7,3,3,2,3,2,5,3,2,1,5,5,5,252.747,298.023,298.383,5,3,2,3,3,5,5,3,3,5,5,5,5,0.0,0.0,88.934,0,3,1,3,2,2,3,3,3,5,5,5,5,3.118,70.937,97.039,11,1,2,2,2,5,2,3,3,5,5,5,5,7.78,90.403,104.746,8,3,1,3,5,5,5,4,51,5,Abstract,b2
2025-10-17 07:29:59,2025-10-17 09:37:46,0,128.82.4.173,100,7666,1,2025-10-17 09:37:46,R_5Ds9Zgf5jutNtCx,,,,,36.8882,-76.3002,anonymous,EN,1.0,30,1,3,3,5,1,5,0.0,0.0,68.291,0,1,1,3,2,1,3,1,2,5,5,2,1,0.0,0.0,54.077,0,1,1,2,1,2,2,3,1,5,5,5,2,56.917,56.917,58.414,1,2,1,3,2,3,2,2,1,1,5,5,5,0.0,0.0,78.903,0,2,1,3,3,2,3,3,3,5,5,5,5,0.0,0.0,62.219,0,1,1,1,4,1,5,1,1,5,5,5,3,0.0,0.0,137.713,0,2,2,3,2,2,3,3,2,3,5,3,5,0.0,0.0,77.811,0,1,1,3,4,3,2,3,1,3,2,5,5,0.0,0.0,39.749,0,2,1,3,2,2,3,1,3,5,5,5,2,0.0,0.0,89.536,0,1,2,2,3,3,2,1,1,3,2,5,5,0.0,0.0,97.682,0,1,1,3,2,2,2,37,95,30,Abstract,b2
2025-10-31 07:14:52,2025-10-31 09:30:25,0,128.82.4.174,100,8133,1,2025-10-31 09:30:26,R_1ZK1fIkJmKzTH9d,,,,,36.8882,-76.3002,anonymous,EN,1.0,25,1,1,3,2,4,1,0.0,0.0,137.072,0,1,1,3,2,1,3,1,1,2,1,2,1,0.0,0.0,82.19,0,1,2,2,1,2,2,2,1,1,2,3,2,0.0,0.0,39.717,0,2,1,3,2,3,2,2,1,1,2,4,3,0.0,0.0,104.158,0,2,1,1,3,2,3,1,1,2,2,1,1,0.0,0.0,58.959,0,1,1,2,1,1,2,2,1,4,1,3,4,0.0,0.0,111.266,0,1,2,3,3,2,3,1,1,1,2,4,3,97.448,97.448,98.618,1,1,1,3,3,3,2,2,1,3,2,2,4,0.0,0.0,62.451,0,2,1,3,2,2,3,1,2,1,2,3,4,0.0,0.0,94.564,0,1,2,2,3,3,2,1,1,1,5,2,2,0.0,0.0,65.413,0,1,1,3,2,1,2,55,96,25,Abstract,b2
2025-11-19 07:30:45,2025-11-19 10:00:58,0,128.82.4.173,100,9013,1,2025-11-19 10:00:59,R_3OqnoteDVORRnQ7,,,,,36.8882,-76.3002,anonymous,EN,1.0,13,1,1,5,5,5,5,0.0,0.0,144.329,0,1,1,3,2,1,1,1,1,2,5,5,5,0.0,0.0,104.061,0,1,1,2,1,5,2,3,1,5,5,5,5,0.0,0.0,60.542,0,2,1,3,2,3,2,3,2,2,2,5,3,0.0,0.0,116.347,0,1,1,1,3,2,4,3,3,5,5,5,1,0.0,0.0,111.322,0,1,1,2,4,1,1,3,3,5,5,5,5,0.0,0.0,186.114,0,2,1,5,2,2,3,3,2,6,5,5,5,0.0,0.0,128.615,0,1,1,3,3,3,2,1,3,5,5,5,5,0.0,0.0,77.47,0,2,1,1,2,2,5,3,3,5,5,5,5,0.0,0.0,104.967,0,1,2,2,1,3,2,3,3,5,5,5,5,0.0,0.0,83.504,0,1,1,3,5,1,2,5,75,13,Abstract,b2
